review_id,restaurant_id,user_id,review_text,rating,review_date,user_activity,review_length,spam_label,review_sentiment,is_verified
1,1001,2001,"The food was amazing, absolutely loved the pizza and the pasta!",5,1/1/2024,10,10,0,positive,1
2,1002,2002,Horrible service. Would not recommend this place to anyone.,1,1/2/2024,5,7,1,negative,0
3,1001,2003,"Great ambiance, food was okay but a bit overpriced.",3,1/3/2024,15,8,0,neutral,1
4,1003,2004,Amazing experience! Totally recommend this place to everyone. Best ever!,5,1/4/2024,1,10,1,positive,0
5,1002,2005,"Food was decent, nothing extraordinary. Would try other places next time.",3,1/5/2024,8,8,0,neutral,1
6,1001,2006,"Worst experience, didn’t like the food at all.",2,1/6/2024,3,6,1,negative,0
7,1004,2007,"They serve amazing desserts, especially the chocolate mousse.",5,1/7/2024,12,8,0,positive,1
8,1005,2008,"Good food, but service was extremely slow.",3,1/8/2024,4,7,0,neutral,1
9,1002,2009,"Superb! Great value for money, fantastic food and atmosphere!",5,1/9/2024,20,9,1,positive,1
10,1006,2010,"I will never go back to this restaurant, terrible experience.",1,1/10/2024,2,6,1,negative,0
11,1003,2011,The pizza was good but too cheesy for my liking.,3,1/11/2024,6,7,0,neutral,1
12,1007,2012,"Nice place, staff was friendly. Food was alright.",4,1/12/2024,4,6,0,neutral,1
13,1004,2013,"Excellent service, amazing food, loved the overall experience!",5,1/13/2024,18,10,0,positive,1
14,1001,2014,Loved it! The ambiance is perfect for a romantic dinner.,5,1/14/2024,30,6,1,positive,0
15,1002,2015,"Bad experience, food was cold and bland.",2,1/15/2024,3,5,1,negative,0
16,1002,2001,Food was overpriced but good.,3,2/1/2024,10,8,1,neutral,1
17,1006,2002,The pasta was very dry and overcooked.,2,2/2/2024,2,6,1,negative,0
18,1001,2003,Just wow! The best sushi I've had in years!,5,2/3/2024,7,10,0,positive,1
19,1005,2004,"Service could be improved, but food was fine.",4,2/4/2024,5,8,0,neutral,1
20,1004,2005,A must-visit place! Excellent cocktails and desserts.,5,2/5/2024,9,9,0,positive,1
21,1001,2006,"Not the best pizza, I expected more.",3,2/6/2024,3,7,1,neutral,1
22,1003,2007,"The restaurant was empty, not much atmosphere.",2,2/7/2024,1,6,1,negative,0
23,1004,2008,"Excellent dining experience, would come again.",5,2/8/2024,15,8,0,positive,1
